info,eval_java_class_summary_true_positives,eval_java_class_summary_false_positives,eval_java_class_summary_true_negatives,eval_java_class_summary_false_negatives,eval_java_class_summary_precision,eval_java_class_summary_recall,eval_java_class_summary_f1,eval_java_class_Ownership_true_positives,eval_java_class_Ownership_false_positives,eval_java_class_Ownership_true_negatives,eval_java_class_Ownership_false_negatives,eval_java_class_Ownership_precision,eval_java_class_Ownership_recall,eval_java_class_Ownership_f1,eval_java_class_Expand_true_positives,eval_java_class_Expand_false_positives,eval_java_class_Expand_true_negatives,eval_java_class_Expand_false_negatives,eval_java_class_Expand_precision,eval_java_class_Expand_recall,eval_java_class_Expand_f1,eval_java_class_usage_true_positives,eval_java_class_usage_false_positives,eval_java_class_usage_true_negatives,eval_java_class_usage_false_negatives,eval_java_class_usage_precision,eval_java_class_usage_recall,eval_java_class_usage_f1,eval_java_class_Pointer_true_positives,eval_java_class_Pointer_false_positives,eval_java_class_Pointer_true_negatives,eval_java_class_Pointer_false_negatives,eval_java_class_Pointer_precision,eval_java_class_Pointer_recall,eval_java_class_Pointer_f1,eval_java_class_deprecation_true_positives,eval_java_class_deprecation_false_positives,eval_java_class_deprecation_true_negatives,eval_java_class_deprecation_false_negatives,eval_java_class_deprecation_precision,eval_java_class_deprecation_recall,eval_java_class_deprecation_f1,eval_java_class_rational_true_positives,eval_java_class_rational_false_positives,eval_java_class_rational_true_negatives,eval_java_class_rational_false_negatives,eval_java_class_rational_precision,eval_java_class_rational_recall,eval_java_class_rational_f1,eval_python_class_Usage_true_positives,eval_python_class_Usage_false_positives,eval_python_class_Usage_true_negatives,eval_python_class_Usage_false_negatives,eval_python_class_Usage_precision,eval_python_class_Usage_recall,eval_python_class_Usage_f1,eval_python_class_Parameters_true_positives,eval_python_class_Parameters_false_positives,eval_python_class_Parameters_true_negatives,eval_python_class_Parameters_false_negatives,eval_python_class_Parameters_precision,eval_python_class_Parameters_recall,eval_python_class_Parameters_f1,eval_python_class_DevelopmentNotes_true_positives,eval_python_class_DevelopmentNotes_false_positives,eval_python_class_DevelopmentNotes_true_negatives,eval_python_class_DevelopmentNotes_false_negatives,eval_python_class_DevelopmentNotes_precision,eval_python_class_DevelopmentNotes_recall,eval_python_class_DevelopmentNotes_f1,eval_python_class_Expand_true_positives,eval_python_class_Expand_false_positives,eval_python_class_Expand_true_negatives,eval_python_class_Expand_false_negatives,eval_python_class_Expand_precision,eval_python_class_Expand_recall,eval_python_class_Expand_f1,eval_python_class_Summary_true_positives,eval_python_class_Summary_false_positives,eval_python_class_Summary_true_negatives,eval_python_class_Summary_false_negatives,eval_python_class_Summary_precision,eval_python_class_Summary_recall,eval_python_class_Summary_f1,eval_pharo_class_Keyimplementationpoints_true_positives,eval_pharo_class_Keyimplementationpoints_false_positives,eval_pharo_class_Keyimplementationpoints_true_negatives,eval_pharo_class_Keyimplementationpoints_false_negatives,eval_pharo_class_Keyimplementationpoints_precision,eval_pharo_class_Keyimplementationpoints_recall,eval_pharo_class_Keyimplementationpoints_f1,eval_pharo_class_Example_true_positives,eval_pharo_class_Example_false_positives,eval_pharo_class_Example_true_negatives,eval_pharo_class_Example_false_negatives,eval_pharo_class_Example_precision,eval_pharo_class_Example_recall,eval_pharo_class_Example_f1,eval_pharo_class_Responsibilities_true_positives,eval_pharo_class_Responsibilities_false_positives,eval_pharo_class_Responsibilities_true_negatives,eval_pharo_class_Responsibilities_false_negatives,eval_pharo_class_Responsibilities_precision,eval_pharo_class_Responsibilities_recall,eval_pharo_class_Responsibilities_f1,eval_pharo_class_Classreferences_true_positives,eval_pharo_class_Classreferences_false_positives,eval_pharo_class_Classreferences_true_negatives,eval_pharo_class_Classreferences_false_negatives,eval_pharo_class_Classreferences_precision,eval_pharo_class_Classreferences_recall,eval_pharo_class_Classreferences_f1,eval_pharo_class_Intent_true_positives,eval_pharo_class_Intent_false_positives,eval_pharo_class_Intent_true_negatives,eval_pharo_class_Intent_false_negatives,eval_pharo_class_Intent_precision,eval_pharo_class_Intent_recall,eval_pharo_class_Intent_f1,eval_pharo_class_Keymessages_true_positives,eval_pharo_class_Keymessages_false_positives,eval_pharo_class_Keymessages_true_negatives,eval_pharo_class_Keymessages_false_negatives,eval_pharo_class_Keymessages_precision,eval_pharo_class_Keymessages_recall,eval_pharo_class_Keymessages_f1,eval_pharo_class_Collaborators_true_positives,eval_pharo_class_Collaborators_false_positives,eval_pharo_class_Collaborators_true_negatives,eval_pharo_class_Collaborators_false_negatives,eval_pharo_class_Collaborators_precision,eval_pharo_class_Collaborators_recall,eval_pharo_class_Collaborators_f1
23292_microsoft/unixcoder-base_16_1_0_3e-05_no_0.01_2e-25,832,286,547,60,0.7441860465116279,0.9327354260089686,0.827860696517413,44,2,1678,1,0.9565217391304348,0.9777777777777776,0.967032967032967,0,0,1623,102,0,0,0,223,24,1270,208,0.902834008097166,0.5174013921113689,0.6578171091445427,152,24,1517,32,0.8636363636363636,0.8260869565217391,0.8444444444444444,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,61,21,264,60,0.7439024390243902,0.5041322314049587,0.6009852216748768,70,9,269,58,0.8860759493670886,0.546875,0.6763285024154589,0,0,365,41,0,0,0,2,2,340,62,0.5,0.03125,0.0588235294117647,47,24,300,35,0.6619718309859155,0.573170731707317,0.6143790849673202,0,0,246,43,0,0,0,98,44,126,21,0.6901408450704225,0.8235294117647058,0.7509578544061303,0,0,237,52,0,0,0,0,0,285,4,0,0,0,0,0,259,30,0,0,0,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23292_microsoft/unixcoder-base_16_1_0_3e-05_no_0.01_3e-25,832,286,547,60,0.7441860465116279,0.9327354260089686,0.827860696517413,44,2,1678,1,0.9565217391304348,0.9777777777777776,0.967032967032967,0,0,1623,102,0,0,0,223,24,1270,208,0.902834008097166,0.5174013921113689,0.6578171091445427,152,24,1517,32,0.8636363636363636,0.8260869565217391,0.8444444444444444,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,61,21,264,60,0.7439024390243902,0.5041322314049587,0.6009852216748768,70,9,269,58,0.8860759493670886,0.546875,0.6763285024154589,0,0,365,41,0,0,0,2,2,340,62,0.5,0.03125,0.0588235294117647,47,24,300,35,0.6619718309859155,0.573170731707317,0.6143790849673202,0,0,246,43,0,0,0,98,44,126,21,0.6901408450704225,0.8235294117647058,0.7509578544061303,0,0,237,52,0,0,0,0,0,285,4,0,0,0,0,0,259,30,0,0,0,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23292_microsoft/unixcoder-base_16_1_0_3e-05_no_0.01_4e-25,832,286,547,60,0.7441860465116279,0.9327354260089686,0.827860696517413,44,2,1678,1,0.9565217391304348,0.9777777777777776,0.967032967032967,0,0,1623,102,0,0,0,223,24,1270,208,0.902834008097166,0.5174013921113689,0.6578171091445427,152,24,1517,32,0.8636363636363636,0.8260869565217391,0.8444444444444444,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,61,21,264,60,0.7439024390243902,0.5041322314049587,0.6009852216748768,70,9,269,58,0.8860759493670886,0.546875,0.6763285024154589,0,0,365,41,0,0,0,2,2,340,62,0.5,0.03125,0.0588235294117647,47,24,300,35,0.6619718309859155,0.573170731707317,0.6143790849673202,0,0,246,43,0,0,0,98,44,126,21,0.6901408450704225,0.8235294117647058,0.7509578544061303,0,0,237,52,0,0,0,0,0,285,4,0,0,0,0,0,259,30,0,0,0,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23292_microsoft/unixcoder-base_16_1_0_3e-05_no_0.001_2e-25,832,341,492,60,0.7092924126172208,0.9327354260089686,0.8058111380145278,44,0,1680,1,1,0.9777777777777776,0.9887640449438202,0,0,1623,102,0,0,0,102,14,1280,329,0.8793103448275862,0.2366589327146171,0.3729433272394881,163,26,1515,21,0.8624338624338624,0.8858695652173914,0.873994638069705,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,61,21,264,60,0.7439024390243902,0.5041322314049587,0.6009852216748768,69,8,270,59,0.8961038961038961,0.5390625,0.6731707317073171,0,0,365,41,0,0,0,0,2,340,64,0,0,0,47,23,301,35,0.6714285714285714,0.573170731707317,0.6184210526315789,0,0,246,43,0,0,0,98,41,129,21,0.7050359712230215,0.8235294117647058,0.7596899224806202,0,0,237,52,0,0,0,0,0,285,4,0,0,0,0,0,259,30,0,0,0,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23292_microsoft/unixcoder-base_16_1_0_3e-05_no_0.001_3e-25,832,341,492,60,0.7092924126172208,0.9327354260089686,0.8058111380145278,44,0,1680,1,1,0.9777777777777776,0.9887640449438202,0,0,1623,102,0,0,0,102,14,1280,329,0.8793103448275862,0.2366589327146171,0.3729433272394881,163,26,1515,21,0.8624338624338624,0.8858695652173914,0.873994638069705,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,61,21,264,60,0.7439024390243902,0.5041322314049587,0.6009852216748768,69,8,270,59,0.8961038961038961,0.5390625,0.6731707317073171,0,0,365,41,0,0,0,0,2,340,64,0,0,0,47,23,301,35,0.6714285714285714,0.573170731707317,0.6184210526315789,0,0,246,43,0,0,0,98,41,129,21,0.7050359712230215,0.8235294117647058,0.7596899224806202,0,0,237,52,0,0,0,0,0,285,4,0,0,0,0,0,259,30,0,0,0,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23292_microsoft/unixcoder-base_16_1_0_3e-05_no_0.001_4e-25,832,341,492,60,0.7092924126172208,0.9327354260089686,0.8058111380145278,44,0,1680,1,1,0.9777777777777776,0.9887640449438202,0,0,1623,102,0,0,0,102,14,1280,329,0.8793103448275862,0.2366589327146171,0.3729433272394881,163,26,1515,21,0.8624338624338624,0.8858695652173914,0.873994638069705,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,61,21,264,60,0.7439024390243902,0.5041322314049587,0.6009852216748768,69,8,270,59,0.8961038961038961,0.5390625,0.6731707317073171,0,0,365,41,0,0,0,0,2,340,64,0,0,0,47,23,301,35,0.6714285714285714,0.573170731707317,0.6184210526315789,0,0,246,43,0,0,0,98,41,129,21,0.7050359712230215,0.8235294117647058,0.7596899224806202,0,0,237,52,0,0,0,0,0,285,4,0,0,0,0,0,259,30,0,0,0,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23292_microsoft/unixcoder-base_16_1_0_3e-05_no_0.0001_2e-25,819,388,445,73,0.6785418392709196,0.9181614349775784,0.7803716055264411,44,0,1680,1,1,0.9777777777777776,0.9887640449438202,0,0,1623,102,0,0,0,65,11,1283,366,0.8552631578947368,0.1508120649651972,0.2564102564102564,151,22,1519,33,0.8728323699421965,0.8206521739130435,0.84593837535014,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,61,21,264,60,0.7439024390243902,0.5041322314049587,0.6009852216748768,69,9,269,59,0.8846153846153846,0.5390625,0.6699029126213591,0,0,365,41,0,0,0,0,1,341,64,0,0,0,47,23,301,35,0.6714285714285714,0.573170731707317,0.6184210526315789,0,0,246,43,0,0,0,94,41,129,25,0.6962962962962963,0.7899159663865546,0.7401574803149606,0,0,237,52,0,0,0,0,0,285,4,0,0,0,0,0,259,30,0,0,0,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23292_microsoft/unixcoder-base_16_1_0_3e-05_no_0.0001_3e-25,819,388,445,73,0.6785418392709196,0.9181614349775784,0.7803716055264411,44,0,1680,1,1,0.9777777777777776,0.9887640449438202,0,0,1623,102,0,0,0,65,11,1283,366,0.8552631578947368,0.1508120649651972,0.2564102564102564,151,22,1519,33,0.8728323699421965,0.8206521739130435,0.84593837535014,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,61,21,264,60,0.7439024390243902,0.5041322314049587,0.6009852216748768,69,9,269,59,0.8846153846153846,0.5390625,0.6699029126213591,0,0,365,41,0,0,0,0,1,341,64,0,0,0,47,23,301,35,0.6714285714285714,0.573170731707317,0.6184210526315789,0,0,246,43,0,0,0,94,41,129,25,0.6962962962962963,0.7899159663865546,0.7401574803149606,0,0,237,52,0,0,0,0,0,285,4,0,0,0,0,0,259,30,0,0,0,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23292_microsoft/unixcoder-base_16_1_0_3e-05_no_0.0001_4e-25,819,388,445,73,0.6785418392709196,0.9181614349775784,0.7803716055264411,44,0,1680,1,1,0.9777777777777776,0.9887640449438202,0,0,1623,102,0,0,0,65,11,1283,366,0.8552631578947368,0.1508120649651972,0.2564102564102564,151,22,1519,33,0.8728323699421965,0.8206521739130435,0.84593837535014,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,61,21,264,60,0.7439024390243902,0.5041322314049587,0.6009852216748768,69,9,269,59,0.8846153846153846,0.5390625,0.6699029126213591,0,0,365,41,0,0,0,0,1,341,64,0,0,0,47,23,301,35,0.6714285714285714,0.573170731707317,0.6184210526315789,0,0,246,43,0,0,0,94,41,129,25,0.6962962962962963,0.7899159663865546,0.7401574803149606,0,0,237,52,0,0,0,0,0,285,4,0,0,0,0,0,259,30,0,0,0,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23292_microsoft/unixcoder-base_16_1_0.01_3e-05_no_0.01_2e-25,834,375,458,58,0.6898263027295285,0.9349775784753364,0.7939076630176106,44,3,1677,1,0.9361702127659576,0.9777777777777776,0.9565217391304348,0,0,1623,102,0,0,0,160,16,1278,271,0.9090909090909092,0.37122969837587,0.5271828665568369,139,22,1519,45,0.8633540372670807,0.7554347826086957,0.8057971014492753,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,61,21,264,60,0.7439024390243902,0.5041322314049587,0.6009852216748768,70,9,269,58,0.8860759493670886,0.546875,0.6763285024154589,0,0,365,41,0,0,0,2,2,340,62,0.5,0.03125,0.0588235294117647,47,24,300,35,0.6619718309859155,0.573170731707317,0.6143790849673202,0,0,246,43,0,0,0,98,44,126,21,0.6901408450704225,0.8235294117647058,0.7509578544061303,0,0,237,52,0,0,0,0,0,285,4,0,0,0,0,0,259,30,0,0,0,0,0,246,43,0,0,0,0,0,279,10,0,0,0
